Awards List,,,,
Search Criteria: Fiscal Year From: 2022-2023 | Fiscal Year To: 2022-2023 | Institution & Province: University of British Columbia | By Institutions: All,,,,
"Total No Of Results: 1,583",,,,
Name,Project Title,Amount($),Fiscal Year,Program
"Hudson, Zachary",Sustainable Chemistry,"100,000",2022-2023,Canada Research Chairs
"Hudson, Zachary",Optoelectronic Applications of Thermally Activated Delayed Fluorescence,"77,000",2022-2023,Discovery Grants Program - Individual
"Hudson, ZacharyZM",Large-Scale Quantum Simulations for Optoelectronic Materials Design,"160,200",2022-2023,Alliance Grants
"Hughes, JackJM",Stochasticity in Single-Species Biofilm Reactor Models,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Hughes, MarkusMWE",Biomass gasification in a two-stage fluidized bed gasifier,"6,000",2022-2023,University Undergraduate Student Research Awards
"Huh, Woonghee","Inventory control, revenue management and pricing: Data-driven stochastic optimization approaches","70,450",2022-2023,Discovery Grants Program - Individual
"Huh, Woonghee",Operations Excellence and Supply Chain Management,"200,000",2022-2023,Canada Research Chairs
"Hunt, Michael",Expanding our ability to assess and modify movement in real-world settings,"33,000",2022-2023,Discovery Grants Program - Individual
"Huttunen, DamonDT",Synthesis of novel glyco-caged prodrugs to treat inflammatory bowel disease,"6,000",2022-2023,University Undergraduate Student Research Awards
"Ibtisam, TahiaTA",Exploring aspects of helical shape biogenesis in Campylobacter jejuni,"6,000",2022-2023,University Undergraduate Student Research Awards
"Innis, SallySJ",What's the Damage? Designing a Risk Profile of Tailings Storage Facilities in Canada,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Ioannidis, NicholasN",Maximum Entropy Reinforcement Learning,"6,000",2022-2023,University Undergraduate Student Research Awards
"Irani, Pourang",In-Situ User Interfaces,"89,000",2022-2023,Discovery Grants Program - Individual
"Ireland, OliviaOL",Impact of the proBDNF Met66 peptide on calcium homeostasis,"6,000",2022-2023,University Undergraduate Student Research Awards
"Irwin, BrianBA",How To See In The Dark: Noisy Optimization From An Inverse Problems Perspective,"31,500",2022-2023,Postgraduate Scholarships - Doctoral
"IsaacRenton, Miriam",Tree population responses to climatic extremes,"12,500",2022-2023,Discovery Launch Supplement
"IsaacRenton, Miriam",Tree population responses to climatic extremes,"29,000",2022-2023,Discovery Grants Program - Individual
"Iskierski, AlyssaALI",Regulation of diffuse large B-cell lymphoma (DLBCL) survival and motility,"6,000",2022-2023,University Undergraduate Student Research Awards
"Ivanov, Andre",Aging and Reliability Effects Modelling and Mitigation in Nanoelectronics and Sensors,"28,000",2022-2023,Discovery Grants Program - Individual
"Ivanov, AndreA",ML-Based Techniques for Physical Design Automation of SoCs,"30,000",2022-2023,Alliance Grants
"Ivanov, AndreA",Reliability-Aware Design of Systems on Chip (SoCs),"37,250",2022-2023,Alliance Grants
"Iwase, TakeoT",Development of bio-degradable and bio-based polymers,"6,000",2022-2023,University Undergraduate Student Research Awards
"Jackman, AndreaAS",Testing the ecological causes of speciation using a grain-dwelling insect model system,"6,000",2022-2023,University Undergraduate Student Research Awards
"Jackson, GarettS",Exercise-mediated extracellular vesicles as novel regulators of immune cell function: Impact of exercise intensity and potential underlying mechanisms,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Jacobs, AllanAJ",Diagnostic Studies of Li-Ion Batteries by Electrochemical Impedance Spectroscopy,"6,000",2022-2023,University Undergraduate Student Research Awards
"Jacobs, OliverOLEJ",Coordinating head and gaze moments: its impact on scene recognition,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Jacobson, Kevan",Identifying novel mechanisms by which fermentable fibers modulate intestinal structure and function,"28,000",2022-2023,Discovery Grants Program - Individual
"Jaeger, Nicolas",Silicon on insulator components for optical data transmission systems.,"33,000",2022-2023,Discovery Grants Program - Individual
"Jaiman, Rajeev",A Novel Framework for Model Reduction and Data-Driven Modeling of Fluid-Structure System: Application to Flapping Dynamics,"39,000",2022-2023,Discovery Grants Program - Individual
"Jakobi, Jennifer",Contributions of Neural and Mechanical Input to Spinal Motoneuron Output in Human Force Control,"47,000",2022-2023,Discovery Grants Program - Individual
"Jakobi, JenniferJM",iSTAND Brainy Circuits STEM,"5,000",2022-2023,PromoScience Supplement for Science Odyssey
"Jakobi, JenniferJM",Indigenizing Okanagan STEM Outreach,"50,000",2022-2023,PromoScience
"Jakobi, JenniferJM",NSERC Chair for Women in Science and Engineering (BC/Yukon),"135,000",2022-2023,Chairs for Women in Science and Engineering - Project
"Jamison, AndrewJ",STEM Club Event and Teacher Professional Development Workshop,"5,000",2022-2023,PromoScience Supplement for Science Literacy Week
"Jankowski, Jill","Species ranges, diversity and life history of Neotropical montane birds","47,000",2022-2023,Discovery Grants Program - Individual
"Janssen, JosephJJ",A new statistical machine learning approach to model linkages among wildfires and belowground water,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Janus, DominicDA",Demography and Ecological Impacts of Resident Canada Geese (Branta canadensis) in the Fraser River Estuary,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"JarryBolduc, GabrielGJB","Gradient approximations and Hessian approximations: theory, algorithms and applications","35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Jaswal, SumeetS",Neurocognitive disengagement during transient internal mental contemplation,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Jatskevich, Juri",Advanced Tools for Modelling and Analysis of Evolving Power and Energy Systems,"55,000",2022-2023,Discovery Grants Program - Individual
"Jatskevich, JuriJ",Research and Development of Advanced Techniques for EMT Simulation of Modern Electrical Energy Systems,"112,000",2022-2023,Collaborative Research and Development Grants
"Jbara, LayalL",Numerical Modelling of Blood Flow and Drug Transport in the Human Blood,"50,000",2022-2023,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Jelovica, Jasmin",Failure of steel sandwich structures in compression: Modelling and testing,"46,000",2022-2023,Discovery Grants Program - Individual
"Jeong, SoraJiHyunSJH",Factors influencing weaning success on commercial farms in the Fraser Valley,"6,000",2022-2023,University Undergraduate Student Research Awards
"Jetter, Reinhard","Formation, physical structure and biological function of plant wax compounds","94,000",2022-2023,Discovery Grants Program - Individual
"Jiang, Feng",Sustainable Functional Biomaterials,"120,000",2022-2023,Canada Research Chairs
"Jiang, Feng",Controlled Assembly of Nanocellulose into Functional Hierarchical Mesostructures,"28,000",2022-2023,Discovery Grants Program - Individual
"Jin, Xiaoliang",Advanced Manufacturing,"120,000",2022-2023,Canada Research Chairs
"Jin, Xiaoliang",Ultrasonic Vibration Assisted Surface Texturing of Bulk Metallic Glasses for Enhancing Tribological Performance,"54,000",2022-2023,Discovery Grants Program - Individual
"Jin, XiaoliangX",Adaptive Machining of Carbon Fiber Reinforced Composites Informed by Prior Manufacturing Processes,"25,000",2022-2023,Alliance Grants
"Jin, YoungHaYJ",Molecular bases for developmental polymorphism in ciliates,"6,000",2022-2023,University Undergraduate Student Research Awards
"Jirasek, Andrew",Development of optical spectroscopic and 3D dosimetric systems in radiation therapy,"61,000",2022-2023,Discovery Grants Program - Individual
"Joe, Harry",Multivariate models and inference,"27,000",2022-2023,Discovery Grants Program - Individual
"Johnson, Catherine",Geophysical Investigations of Mars and Mercury,"95,000",2022-2023,Discovery Grants Program - Individual
"Johnson, Mark",Ecohydrology,"100,000",2022-2023,Canada Research Chairs
"Johnson, Mark",Ecohydrological regulation of carbon and water interactions in natural and managed environments,"61,000",2022-2023,Discovery Grants Program - Individual
"Johnson, Pauline",Molecular analysis of hyaluronan and CD44,"48,000",2022-2023,Discovery Grants Program - Individual
"Johnston, QuinQVAJ",Effects of catch and release on salmon survival,"6,000",2022-2023,University Undergraduate Student Research Awards
"Johnston, SophieSL",Master's Research in Marine Biology and Conservation,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Jones, David",Advancing the characterization of solids: from rocks to quantum materials,"28,000",2022-2023,Discovery Grants Program - Individual
"Jones, Melanie",Ecophysiology of ectomycorrhizal symbioses,"94,000",2022-2023,Discovery Grants Program - Individual
"JU, MYEONGJIN",In vivo digital retinal pathology: imaging retina with molecular specific contrast and cellular resolution,"28,000",2022-2023,Discovery Grants Program - Individual
"Jung, NicoleNJJ",Evaluating Spatial Overlap of Habitat Models and Rockfish Distributions in Nuu-chah-nulth Territories,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Kaluarachchi, SamadheeS",Linking extreme weather events to geohazards: analysis of the November 2021 atmospheric river in BC,"6,000",2022-2023,University Undergraduate Student Research Awards
"Kamal, DariusD","Deformation of clastic dominated Zn-Pb deposits: Implications for distribution, remobilization, and upgrading of ore","21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Karczmarek, Joanna",Non-abelian Structures in String Theory,"50,000",2022-2023,Subatomic Physics Envelope - Individual
"Karim, Mohammad",Improving Causal Inference Methods in Statistics for Analyzing Big Data,"21,000",2022-2023,Discovery Grants Program - Individual
"Karu, Kalle",Combinatorial problems in the theory of toric varieties,"24,000",2022-2023,Discovery Grants Program - Individual
"Kasahara, Hiroyuki",Likelihood-based Tests for the Number of Components/Regimes in Finite Mixture and Markov Regime Switching Models,"16,700",2022-2023,Discovery Grants Program - Individual
"Kastrup, Christian",Mechanisms of Blood Clot Adhesion and the Design of New Wet Adhesives,"92,000",2022-2023,Discovery Grants Program - Individual
"Kazemian, NeginNK",A longitudinal investigation of the effects of integrated biophilic-bioinformed-designs on indoor air microbiota and biodegradation of emerging green materials,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Keeling, Patrick",The Impact of Endosymbiosis on Genome Structure and Content,"69,000",2022-2023,Discovery Grants Program - Individual
"Keenan, SethSPT",Characterization of Differences in Dairy Milk using Oligosaccharides as Biomarkers,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Kennedy, TabithaT",Examining the influence of land cover and climate change on distribution shifts and protected area coverage of mountain birds in western Canada.,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Khan, WaniaAmirWA",Cell Death and Cell Survival Pathways in the Retina,"6,000",2022-2023,University Undergraduate Student Research Awards
"Kheirkhah, Sina",Technology Development for Next Generation of Gas Turbine Engines: Turbulent Combustion Science and Thermoacoustics,"27,000",2022-2023,Discovery Grants Program - Individual
"Kheirkhah, SinaSK",Carbonaceous nanomaterials for improving combustion emissions of a gas turbine model combustor,"86,000",2022-2023,Alliance Grants
"Kheirkhah, SinaSK",Development of hydrogen safety codes and standards through a collaboration between UBC and the University of Groningen: Design of reacting flow facilities,"25,000",2022-2023,Alliance Grants
"KheirollahiNatajBisheh, HosseinH",Natural Fibrous Composites for Customized Prosthetic Limb Sockets,"45,000",2022-2023,Postdoctoral Fellowships
"Kheradmand, ShakibaKS",Multi-view passive stereo for efficient three-dimensional (3D) scene reconstruction,"31,500",2022-2023,Postgraduate Scholarships - Doctoral
"Kiefl, Robert",Quantum Materials Studied with muSR and beta-NMR,"28,000",2022-2023,Discovery Grants Program - Individual
"Kim, Amy","Adaptive, Multimodal Planning of Long-Distance Transportation Systems","62,000",2022-2023,Discovery Grants Program - Individual
"Kim, Amy","Adaptive, Multimodal Planning of Long-Distance Transportation Systems","40,000",2022-2023,DND/NSERC Discovery Grant Supplement
"Kim, YoungHeon",Optimality in analysis and geometry of probability measures,"26,000",2022-2023,Discovery Grants Program - Individual
