"Project Number","Project title","Fund Type",Fund,"Team Leader(s)","Team Member(s)",Province,Municipality,"Institution type","Lead Institution","Collaborating Institutions","Field of research",Keywords,"Funding decision year","Decision date","CFI Contribution"
11529,"Advanced Newborn Brain Imaging Program","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Steven Miller","Steven Miller","British Columbia",Vancouver,University,"The University of British Columbia",,"Neurosciences, medical and physiological and health aspects","Newborn, Brain Injury, Seizures, Magnetic Resonance Imaging, Spectroscopy, Diffusion Tensor Imaging, Premature Birth, Congenital Heart Disease, Neonatal Encephalopathy",2006,7-Mar-06,$100000
11507,"Brain Research Centre: a platform for basic and translational neuroscience.","Innovation Fund","Leading Edge Fund 2006","Brian MacVicar","Neil Cashman, Ann Marie Craig, Howard Feldman, Brian MacVicar, Steven Pelech, Anthony Phillips, Terrance Snutch, A. Jon Stoessl, Yu Tian Wang","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","Addition of platform facilities and services for basic and translational research.",2006,14-Nov-06,$6812615
202975,"Building of a mammalian tissue culture facility and a molecular cell biology laboratory","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Judy Wong","Judy Wong","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","aging, cancer, cell biology, genetics, therapeutics",2006,7-Mar-06,$121079
203318,"Canada Research Chair in Neurobiology of Motor Learning: Imaging neuroplastic change stimulated by motor learning after stroke","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Lara Boyd","Lara Boyd","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","Neuroplasticity, Brain, Stroke, Rehabilitation, Human",2006,14-Nov-06,$99977
11989,"Centre for Drug Research and Development","Innovation Fund","New Initiatives Fund 2006","Robert HANCOCK","Raymond Andersen, Marcel Bally, Helen Burt, Pieter Cullis, B. Brett Finlay, Robert HANCOCK, B Mario Pinto, Michel Roberge, Natalie Strynadka, Stephen Withers","British Columbia",Vancouver,University,"The University of British Columbia",,"Pharmacology and pharmaceutical sciences (except clinical aspects)","Drugs, drug development, screening, formulation, toxicology, targets, synthesis, infection, cancer",2006,14-Nov-06,$8000000
11338,"Centre for Microscopy of Intermolecular and Cellular Dynamics.","Innovation Fund","Leading Edge Fund 2006","Geoffrey Wasteneys","Vanessa Auld, B. Brett Finlay, Wilfred Jefferies, Brian Leander, Xin Li, Shawn Mansfield, Nelly Panté, Fred Sack, Lacey Samuels, Geoffrey Wasteneys","British Columbia",Vancouver,University,"The University of British Columbia",,"Cell biology","live cell imaging, spectral imaging, multi-fluorescence technology, electron tomography, laser scanning confocal microscopy, ultrastructure in 3-D",2006,14-Nov-06,$1626592
12167,"Centre for Understanding and Preventing Infection in Children","Innovation Fund","New Initiatives Fund 2006","David Speert","Laura Arbour, Julie Bettinger, Jan Dutz, Jinko Graham, Robert HANCOCK, Tobias Kollmann, David Scheifele, David Speert, Rusung Tan, Stuart Turvey","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical microbiology","Pediatrics, Infectious Diseases, Innate Immunity, Vaccines, Infections, Bacteria, First Nations, Epidemiology",2006,14-Nov-06,$3226617
11676,"Children's Innate Immunity Research Facility","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Stuart Turvey","Stuart Turvey","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical microbiology","immunology, child health, innate immunity, infectious diseases, inflammatory diseases, Toll-like receptors, pneumococcus",2006,7-Mar-06,$100000
202899,"China Nationalities Language Centre: An electronic facility for research on China's minority nationality areas","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Tsering Shakya","Tsering Shakya","British Columbia",Vancouver,University,"The University of British Columbia",,"Computer and information sciences","Tibet, identity, history, religion, literature",2006,23-May-06,$101278
12742,"Chromatin Biology Laboratory","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Michael Kobor","Michael Kobor","British Columbia",Vancouver,University,"The University of British Columbia",,"Cell biology","Epigenetics, Chromatin, Chromosomes, Respiratory Disease, Cancer, Gene expression, Real-time PCR, Yeast , Protein Complexes, Functional Genomics",2006,14-Nov-06,$110984
203368,"Computer infrastructure for research on the Healthy Doc = Healthy Patient Project and the Global Health Sciences Learning Center","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Erica Frank","Erica Frank","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","disease prevention; health promotion; community medicine; health education",2006,14-Nov-06,$100000
12735,"Discovery and characterization of novel mechanisms of translation","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Eric Jan","Eric Jan","British Columbia",Vancouver,University,"The University of British Columbia",,Biochemistry,"translation. RNA, IRES, protein synthesis, gene expression, cancer, diabetes, virus, microRNA, RNAi",2006,14-Nov-06,$116007
203418,"Dopamine modulation of prefrontal cortex neurons and networks","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Jeremy Seamans","Jeremy Seamans","British Columbia",Vancouver,University,"The University of British Columbia",,"Rehabilitation medicine","prefrontal cortex,  memory, dopamine, schizophrenia, addiction",2006,14-Nov-06,$124422
11798,"Facility for Cellular Lipid and Membrane Proteomics","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Christopher Loewen","Christopher Loewen","British Columbia",Vancouver,University,"The University of British Columbia",,"Cell biology","proteomics, molecular cell biology, yeast genetics, lipid-protein interactions, membrane contact sites, nonvesicular traffic, neuromuscular disease, diabetes, lipid drug targets",2006,7-Mar-06,$100000
11746,"Infrastructure for investigating the control of protein synthesis in health and human disease","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Roger Brownsey","Roger Brownsey, Christopher Proud","British Columbia",Vancouver,University,"The University of British Columbia",,Biochemistry,"protein synthesis, mRNA translation, intracellular signaling, gene expression, cancer, cardiovascular disease, neurodegeneration, inflammatory disease, protein kinase, cytokine",2006,7-Mar-06,$100950
203202,"Infrastructure support for the UBC Culture and Evolution Laboratory","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Ara Norenzayan","Ara Norenzayan","British Columbia",Vancouver,University,"The University of British Columbia",,"Psychology and cognitive sciences","culture, cognition, evolution, culture-gene coevolution",2006,14-Nov-06,$125000
11634,"Instrument for the Spectroscopic Preparation and Characterization of Ultracold Molecular Plasmas and State-Detailed Rydberg Gases","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Edward Grant","Edward Grant","British Columbia",Vancouver,University,"The University of British Columbia",,"Physical chemistry (including structural)","Ultracold-matter, Rydberg-gas, plasma, quantum-coherence, mesoscopic-systems, quantum-computing, electron-cation scattering",2006,7-Mar-06,$125000
11703,"Interactive Driving Simulator for Transportation and Traffic Engineering Research","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Jacqueline Jenkins","Jacqueline Jenkins","British Columbia",Vancouver,University,"The University of British Columbia",,"Civil engineering","interactive driving simulator, driver behaviour, road design, traffic operations, traffic flow, traffic simulation, transportation engineering, traffic engineering",2006,7-Mar-06,$125000
11708,"Laboratory for Green Polymer Development","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Parisa Mehrkhodavandi","Parisa Mehrkhodavandi","British Columbia",Vancouver,University,"The University of British Columbia",,"Inorganic chemistry","Biodegradable, Naturally derived, Catalysis, Mechanistic investigation, GC/MS, High pressure, React IR, Drug delivery application, Chirality",2006,7-Mar-06,$120000
202728,"Laboratory for Pharmaceutical Outcomes Research","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","CARLO MARRA","Carlo Marra","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","pharmaceutical outcomes, drug safety, pharmacoeconomics, arthritis, chronic disease management",2006,7-Mar-06,$92554
203033,"Laboratory for Sensori-Motor Computation","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Dinesh Pai","Dinesh Pai","British Columbia",Vancouver,University,"The University of British Columbia",,"Computer and information sciences","sensori-motor, movement, neuroscience, graphics, simulation",2006,7-Mar-06,$112808
11559,"Laboratory for somatic cell site-specific genomic targeting and chromatin analysis","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Matthew Lorincz","Matthew Lorincz","British Columbia",Vancouver,University,"The University of British Columbia",,"Cell biology","epigenetics, chromatin, histone modifications, DNAmethylation, transcription, silencing, elongation,chromatin immunoprecipitation, flow cytometry",2006,7-Mar-06,$100000
12721,"Laboratory for the discovery of melanoma causing genes","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Catherine Van Raamsdonk","Catherine Van Raamsdonk","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","Genetics, Molecular biology, Developmental Biology, Gene Discovery, Melanoma, Human Health",2006,14-Nov-06,$118561
11680,"Laboratory for Therapeutic Risk-Benefit Analysis","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Larry Lynd","Larry Lynd","British Columbia",Vancouver,University,"The University of British Columbia",,"Pharmacology and pharmaceutical sciences (except clinical aspects)","Pharmacoepidemiology, health services research, risk-benefit analysis, data linkage",2006,7-Mar-06,$40000
202936,"Laboratory of Environmental Genomics","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Steven Hallam","Steven Hallam","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical microbiology","environmental genomics, anaerobic methane-oxidation, microbiology",2006,17-Jan-06,$131470
